density,speed,rain,flow,congestion
0.29214464853521815,0.512093058299281,0.6601973767177313,0.04315991195057611,0.2140916894806052
0.18340450985343382,0.835302495589238,0.695974206093698,0.37487057952370406,0.2663092441905192
0.5426960831582485,0.23724908749680007,0.38610263780077425,0.026366974497252005,0.27709192448149583
0.9699098521619943,0.6323058305935795,0.07845638134226596,0.6492103021160636,0.6113692486060992
0.034388521115218396,0.9004180571633305,0.17320186991001518,0.2773811829811327,0.0
0.6095643339798968,0.7699935530986108,0.9860010638228709,0.6675577385210272,0.6883739673491944
0.7751328233611146,0.08413996499504883,0.8564898411883223,0.5360963663441204,0.8021628108635966
0.5142344384136116,0.3867353463005374,0.6117207462343522,0.5538542844013208,0.5635623041671388
0.15601864044243652,0.9856504541106007,0.7260913337226615,0.11119748230615134,0.11283953081905787
0.06505159298527952,0.9246936182785628,0.014393488629755868,0.45454106476777323,0.03909374946186975
0.49724850589238545,0.8226005606596583,0.3742707957561203,0.18188008439914483,0.20969033894849629
0.32518332202674705,0.7224521152615053,0.8034809303848486,0.944765729882428,0.6494774594192606
0.7296061783380641,0.2807723624408558,0.2820345725713065,0.8496473906774115,0.7433147071604316
0.3042422429595377,0.32078006497173583,0.4089529444142699,0.28571208628186073,0.30203685063767316
0.020584494295802447,0.3677831327192532,0.4389714207056361,0.11752624677710488,0.11541107247905714
0.6232981268275579,0.5026370931051921,0.6967371653641506,0.9997176732861306,0.840895093531896
0.33761517140362796,0.093981939840869,0.10112267612279024,0.3287516102875082,0.29649706930850217
0.7030189588951778,0.5426446347075766,0.8218600592903562,0.12887972191064923,0.44794350392494137
0.7290071680409873,0.24398964337908358,0.3189756302937613,0.4686931597949703,0.5588486582211374
0.07697990982879299,0.09717649377076854,0.09128667678613356,0.6203095513534647,0.3158033846807357
0.5227328293819941,0.42818414831731433,0.8584127518430118,0.11355759219962902,0.4075672805568404
0.24929222914887494,0.5568012624583502,0.8955232284962005,0.40348286621239704,0.4230678238907495
0.14092422497476265,0.3253996981592677,0.9611905638239142,0.3764633668780496,0.4343232136993454
0.3745401188473625,0.9082658859666537,0.0516817211686077,0.7771469159274368,0.3388899517007049
0.3180034749718639,0.8670723185801037,0.09120610304869037,0.39654278232127016,0.15246245307845227
0.8021969807540397,0.7464914051180241,0.9053506419560637,0.8105533307818329,0.8349485247943429
